SKT0-Ch0Read,SKT0-Ch0Write,SKT0-Ch1Read,SKT0-Ch1Write,SKT0-Mem Read (MB/s),SKT0-Mem Write (MB/s),SKT0-P. Write (T/s),SKT0-Memory (MB/s),SKT1-Ch0Read,SKT1-Ch0Write,SKT1-Ch1Read,SKT1-Ch1Write,SKT1-Mem Read (MB/s),SKT1-Mem Write (MB/s),SKT1-P. Write (T/s),SKT1-Memory (MB/s),System-Read,System-Write,System-Memory
  104.23,  191.16,  375.83,  333.82,  480.05,  524.98,2132516465, 1005.03,  233.70,    2.91,  237.80,    6.21,  471.50,    9.12,2132522246,  480.62,    951.55,    534.10,   1485.65
   84.80,  126.69,  312.79,  246.21,  397.58,  372.90,2134565337,  770.48,  143.69,    2.01,  148.06,    5.33,  291.76,    7.34,2134461795,  299.09,    689.34,    380.24,   1069.58
   67.88,   74.17,  258.79,  174.43,  326.67,  248.60,2132317790,  575.26,   74.12,    1.76,   77.62,    5.08,  151.74,    6.84,2132281357,  158.58,    478.41,    255.44,    733.84
   67.75,   74.92,  257.32,  174.72,  325.07,  249.64,2132384250,  574.71,   75.49,    2.11,   79.27,    5.40,  154.76,    7.51,2132409311,  162.27,    479.83,    257.15,    736.98
   67.77,   74.84,  257.94,  175.13,  325.70,  249.97,2134356150,  575.67,   76.35,    2.30,   80.06,    5.62,  156.42,    7.92,2134311632,  164.34,    482.12,    257.89,    740.01
   68.11,   75.89,  258.52,  176.36,  326.63,  252.25,2132267303,  578.88,   76.88,    2.09,   80.46,    5.39,  157.34,    7.48,2132287774,  164.82,    483.97,    259.73,    743.70
   80.73,   85.56,  298.92,  199.98,  379.65,  285.54,2134425974,  665.19,  103.46,   20.09,  106.69,   23.48,  210.15,   43.57,2134471771,  253.72,    589.80,    329.11,    918.91
   69.79,   78.24,  264.59,  181.06,  334.39,  259.30,2132386833,  593.69,   85.73,    4.37,   89.27,    7.67,  175.00,   12.04,2132390300,  187.04,    509.39,    271.34,    780.73
   69.24,   78.21,  262.66,  180.38,  331.90,  258.59,2134444416,  590.49,   80.28,    2.30,   83.56,    5.61,  163.84,    7.91,2134395612,  171.74,    495.73,    266.49,    762.23
   68.58,   77.74,  260.53,  179.28,  329.12,  257.01,2132270433,  586.13,   80.16,    2.60,   83.51,    5.91,  163.67,    8.51,2132296966,  172.18,    492.79,    265.53,    758.31
