,,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,System,System,System
Date,Time,Ch0Read,Ch0Write,Ch1Read,Ch1Write,Ch2Read,Ch2Write,Ch3Read,Ch3Write,Mem Read (MB/s),Mem Write (MB/s),P. Write (T/s),Memory (MB/s),Ch0Read,Ch0Write,Ch1Read,Ch1Write,Ch2Read,Ch2Write,Ch3Read,Ch3Write,Mem Read (MB/s),Mem Write (MB/s),P. Write (T/s),Memory (MB/s),Read,Write,Memory
2023-09-18,11:59:38.140,  166.24,  384.41,  617.11,  602.52,,,,,  783.35,  986.93,    106563, 1770.28,  238.94,    5.35,  235.64,    1.95,,,,,  474.58,    7.30,     53518,  481.88,   1257.93,    994.23,   2252.15
2023-09-18,11:59:39.139,  167.13,  379.85,  618.57,  598.13,,,,,  785.70,  977.98,    106630, 1763.68,  344.14,    4.88,  339.88,    1.47,,,,,  684.02,    6.35,     54225,  690.37,   1469.72,    984.33,   2454.05
2023-09-18,11:59:40.140,  167.24,  380.29,  618.12,  598.39,,,,,  785.36,  978.68,    106628, 1764.05,  356.03,    4.74,  352.89,    1.35,,,,,  708.92,    6.09,     54363,  715.01,   1494.29,    984.77,   2479.06
2023-09-18,11:59:41.139,   48.06,  442.27,  188.69,  513.03,,,,,  236.75,  955.29,    105175, 1192.04,  376.67,    7.69,  372.75,    4.30,,,,,  749.43,   11.98,     54188,  761.41,    986.18,    967.27,   1953.45
2023-09-18,11:59:42.140,   37.04,  428.92,  149.04,  484.07,,,,,  186.09,  912.99,    105276, 1099.08,  363.87,    4.44,  359.53,    1.05,,,,,  723.41,    5.50,     54439,  728.90,    909.49,    918.49,   1827.98
2023-09-18,11:59:43.139,   35.61,  429.39,  142.86,  481.92,,,,,  178.47,  911.31,    105200, 1089.77,  355.22,    4.29,  349.00,    0.89,,,,,  704.22,    5.18,     54210,  709.40,    882.69,    916.48,   1799.17
2023-09-18,11:59:44.139,   34.44,  426.72,  138.05,  477.72,,,,,  172.49,  904.45,    105144, 1076.93,  356.14,    4.83,  350.88,    1.43,,,,,  707.02,    6.26,     54210,  713.28,    879.51,    910.70,   1790.22
2023-09-18,11:59:45.140,   47.42,  429.69,  184.37,  498.30,,,,,  231.79,  927.99,    105357, 1159.79,  405.46,   24.94,  399.79,   21.29,,,,,  805.25,   46.23,     54431,  851.48,   1037.04,    974.22,   2011.27
2023-09-18,11:59:46.140,   37.75,  427.45,  151.00,  483.88,,,,,  188.75,  911.34,    105206, 1100.09,  384.02,    4.99,  379.86,    1.60,,,,,  763.88,    6.58,     54172,  770.47,    952.63,    917.92,   1870.55
2023-09-18,11:59:47.140,   32.08,  426.38,  129.18,  474.23,,,,,  161.25,  900.61,    105220, 1061.87,  368.22,    4.76,  364.21,    1.38,,,,,  732.44,    6.15,     54066,  738.59,    893.69,    906.76,   1800.45
