skt-0_PCIRdCur-total,skt-0_RFO-total,skt-0_CRd-total,skt-0_DRd-total,skt-0_ItoM-total,skt-0_PRd-total,skt-0_WiL-total,skt-1_PCIRdCur-total,skt-1_RFO-total,skt-1_CRd-total,skt-1_DRd-total,skt-1_ItoM-total,skt-1_PRd-total,skt-1_WiL-total
12797764,3381784,2083214,98753340,8605548,532,13762,11656148,134526,5330626,11869760,0,30506,174790
1675198,3536540,2392880,79211664,8598940,140,722050,11483724,134204,5281822,12731726,0,30520,175686
3697288,3687852,2039702,93503032,8584394,140,587426,11492222,134568,5195834,11644542,0,29904,176540
1687812,3596656,1916082,130464950,8558578,140,58702,11495470,135716,5156662,10550960,0,29708,176820
8150296,3433080,2086658,93396660,8572186,182,788424,11489324,134792,5257616,10648232,0,29932,176386
13148324,3912384,2508380,117550104,8644482,154,138264,11497892,135044,17306660,10656226,0,29792,176932
11966598,3457860,2374428,131050990,8547616,0,795228,11489856,134344,5117784,10686928,0,29946,177170
2135140,3644242,2430610,131210422,8571794,0,780094,11491760,133140,5287856,10713094,0,29820,176442
11302732,3729432,1739122,131235034,8563142,0,752850,11497542,133546,4561382,10616634,0,30016,177240
12844482,2965900,1768158,113767304,8622054,0,780262,11621764,132748,4513726,10631530,0,29694,178766
13033804,3964506,4642260,109926754,8624252,0,786198,11406248,134148,11888030,10757544,0,30016,176288
13005706,4048254,1768830,99612422,8624910,0,758702,11395034,134386,4434738,10756116,0,30072,175392
13026272,4050676,1809164,26500376,8620808,0,769832,11420752,133602,4539710,10891538,0,29988,175714
13015226,4052426,1763930,133523488,8522738,0,743162,11407984,133588,4505774,10835272,0,29834,175630
13026314,4032070,1820546,133166110,8641094,140,58324,11417728,133126,4604740,10824478,0,30254,175210
13026566,4041310,1655262,133561554,9260986,140,687918,11420710,134274,4509484,10612756,14,36050,211092
10058244,4602514,1766380,146885774,10341604,140,70476,13643714,159964,4690826,12158692,14,36120,210728
3938060,4597614,1896048,146245596,10386712,140,724430,13709402,159978,4810834,12256678,14,36246,210770
11000458,3942876,1799406,145570670,10170636,196,821380,13718880,160664,4723404,12301058,14,35462,210462
4774238,4494056,1866732,146173286,10301312,140,820540,13709934,160286,4771522,12513102,14,35434,209636
15417388,3983504,1732136,120013334,10404142,140,795018,13708002,161000,4718840,25729634,14,35546,210868
15564458,4570174,1662906,121072210,10206294,224,801080,13846630,159992,4657968,12059922,14,35602,210028
15567650,4658752,1480304,136658760,9989924,140,817516,13842640,160846,4808510,12129614,0,35616,210910
15561476,4644458,1808212,9395218,10297812,140,821114,13830180,160734,4648238,12625340,0,35630,212982
15555638,4637122,1985480,136383394,10350858,140,830298,13835514,159502,4603004,11824932,0,35546,213304
15598114,4629156,1965180,143952970,10320478,140,500150,13840050,160412,4588514,12447820,14,35574,212828
